city,street,endNode
"Boston, MA",NA,Exit 22: Copley Sq
"Boston, MA",NA,American Legion Hwy
"Boston, MA",Bayswater St,Annavoy St
"Boston, MA",NA,Heath St
"Boston, MA",Centre St,South St
"Boston, MA",NA,Boylston St
"Boston, MA",Beach St,Tyler St
"Boston, MA",NA,Morton St
"Boston, MA",NA,Commonwealth Ave Service Rd
"Boston, MA",Beacon St,Charles St
"Boston, MA",Charles St,Geneva Ave
"Boston, MA",Charles St S,Charles St
"Boston, MA",NA,Gardner St
"Boston, MA",NA,Rutherford Ave
"Boston, MA",Beaumont St,Berkshire St
"Boston, MA",Beaumont St,Wilcox Rd
"Boston, MA",NA,Haul Rd
"Boston, MA",Beaver St,Beaver Pl
"Boston, MA",Charlesgate E,Beacon St
"Boston, MA",NA,Southampton St
"Boston, MA",Charme Ave,Starbird Ave
"Boston, MA",NA,to Hotels / Economy Lot / Rental Cars / Fuel
"Boston, MA",NA,St Cecilia St
"Boston, MA",NA,to SR-28 N / N Station
"Boston, MA",NA,Terminal E Departures
"Boston, MA",Beech St,Leniston St
"Boston, MA",Beech St,Poplar St
"Boston, MA",NA,to S Station
"Boston, MA",Beechcroft St,Hester St
"Boston, MA",Charter St,Foster St
"Boston, MA",,A St
"Boston, MA",Cheney St,Blue Hill Ave
"Boston, MA",,Bowdoin St
"Boston, MA",Belgrade Ave,Pinehurst St
"Boston, MA",NA,Vine St
"Boston, MA",Cheney St,Hartwell St
"Boston, MA",Bennington St,Byron St
"Boston, MA",,Annunciation Rd
"Boston, MA",Chestnut Ave,Paul Gore St
"Boston, MA",Chestnut Ave,Sheridan St
"Boston, MA",,Dunboy St
"Boston, MA",,Hyde Park Ave
"Boston, MA",,Charlesgate
"Boston, MA",,New Rutherford Ave
"Boston, MA",,Franklin Park Rd
"Boston, MA",,Terminal B Departures
"Boston, MA",,to Airport Exit
"Boston, MA",,to I-90 W
"Boston, MA","""N"" St",E Fifth St
"Boston, MA",,to N Beacon St / Watertown Sq / US-20 W
"Boston, MA",Chestnut Hill Ave,NA
"Boston, MA",,to Terminal B
"Boston, MA",Chestnut Hill Dr,Chestnut Hill Driveway
"Boston, MA",Chestnut St,River St
"Boston, MA",,William T Morrissey Blvd
"Boston, MA",Berkeley St,Warren Ave
"Boston, MA",Chickatawbut St,Glide St
"Boston, MA",Albano St,NA
"Boston, MA","""N"" St",E Third St
"Boston, MA",Child St,Reservation Rd
"Boston, MA",16th St,5th Ave
"Boston, MA",1A S to I- 93 N / Sumner Tun / Govt Ctr,East Boston Expy
"Boston, MA",3rd Ave,9th St
"Boston, MA",Albany St,Paul Sullivan Way
"Boston, MA",Aldie St,Everett St
"Boston, MA",Binford St,NA
"Boston, MA",Ambrose St,Albany St
"Boston, MA",A St,Richards St
"Boston, MA",Bird St,Cedar Pl
"Boston, MA",Clarendon St,NA
"Boston, MA",Amory St,Columbus Ave
"Boston, MA",NA,Arborway
"Boston, MA",Clarendon St,Appleton St
"Boston, MA",Clearwater Dr,Maryknoll St
"Boston, MA",A St,W Fourth St
"Boston, MA",Amory St,School St
"Boston, MA",Black Falcon Ave,NA
"Boston, MA",NA,Bowdoin St
"Boston, MA",NA,Broadlawn Park
"Boston, MA",Clement Ave,Kenneth St
"Boston, MA",Ansonia Rd,Jacqueline Rd
"Boston, MA",NA,Bridge St
"Boston, MA",Adams St,Arcadia St
"Boston, MA",NA,Broadway
"Boston, MA",NA,Main St
"Boston, MA",Adams St,Chestnut St
